NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE17721_CTRL_VS_CPG_2H_BMDC_DN	GSE17721_CTRL_VS_CPG_2H_BMDC_DN	Details ...	10	0.6005254	1.3306564	0.13465346	1.0	0.843	37	tags=60%, list=11%, signal=65%	
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_UP	GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_UP	Details ...	10	0.5323653	1.2626615	0.17382413	1.0	0.873	134	tags=80%, list=38%, signal=126%	
BENPORATH_PRC2_TARGETS	BENPORATH_PRC2_TARGETS	Details ...	27	0.44957763	1.2279395	0.254	1.0	0.891	158	tags=81%, list=45%, signal=137%	
BENPORATH_ES_WITH_H3K27ME3	BENPORATH_ES_WITH_H3K27ME3	Details ...	42	0.39860538	1.1926924	0.27364185	1.0	0.91	177	tags=83%, list=50%, signal=148%	
CHICAS_RB1_TARGETS_CONFLUENT	CHICAS_RB1_TARGETS_CONFLUENT	Details ...	18	0.46451688	1.1712112	0.3029703	1.0	0.915	163	tags=83%, list=46%, signal=148%	
BENPORATH_EED_TARGETS	BENPORATH_EED_TARGETS	Details ...	38	0.39418808	1.1405858	0.34747475	1.0	0.927	178	tags=84%, list=51%, signal=152%	
LIU_PROSTATE_CANCER_DN	LIU_PROSTATE_CANCER_DN	Details ...	26	0.4335792	1.1369886	0.36914062	1.0	0.929	193	tags=92%, list=55%, signal=190%	
NABA_MATRISOME	NABA_MATRISOME	Details ...	56	0.3985904	1.135826	0.3608871	1.0	0.929	181	tags=77%, list=52%, signal=133%	
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	Details ...	12	0.49343693	1.1301472	0.3957115	1.0	0.93	146	tags=83%, list=42%, signal=138%	
CHANDRAN_METASTASIS_DN	CHANDRAN_METASTASIS_DN	Details ...	10	0.4670083	1.1095407	0.372	1.0	0.937	157	tags=80%, list=45%, signal=141%	
LIM_MAMMARY_STEM_CELL_UP	LIM_MAMMARY_STEM_CELL_UP	Details ...	28	0.41047338	1.1092172	0.4090909	1.0	0.937	175	tags=82%, list=50%, signal=151%	
