NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_VESICLE_MEDIATED_TRANSPORT	Details ...	12	-0.47492626	-1.1360341	0.33460802	1.0	0.934	191	tags=100%, list=54%, signal=212%	
ACEVEDO_LIVER_CANCER_DN	ACEVEDO_LIVER_CANCER_DN	Details ...	13	-0.6198005	-1.0593151	0.49905837	1.0	0.959	114	tags=92%, list=32%, signal=132%	
HSIAO_LIVER_SPECIFIC_GENES	HSIAO_LIVER_SPECIFIC_GENES	Details ...	18	-0.5877952	-1.003907	0.5614035	1.0	0.97	128	tags=94%, list=36%, signal=141%	
SANSOM_APC_TARGETS_DN	SANSOM_APC_TARGETS_DN	Details ...	10	-0.4692082	-0.932004	0.56405354	1.0	0.986	192	tags=100%, list=55%, signal=214%	
GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP	GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP	Details ...	11	-0.3794118	-0.9053161	0.575985	1.0	0.99	223	tags=100%, list=64%, signal=266%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	10	-0.3989549	-0.90203166	0.5839844	1.0	0.99	37	tags=30%, list=11%, signal=33%	
MIKKELSEN_ES_ICP_WITH_H3K4ME3	MIKKELSEN_ES_ICP_WITH_H3K4ME3	Details ...	11	-0.32058823	-0.87882614	0.5884774	1.0	0.991	243	tags=100%, list=69%, signal=315%	
CAIRO_LIVER_DEVELOPMENT_DN	CAIRO_LIVER_DEVELOPMENT_DN	Details ...	12	-0.45126837	-0.86676633	0.6227898	1.0	0.992	125	tags=83%, list=36%, signal=125%	
JAEGER_METASTASIS_DN	JAEGER_METASTASIS_DN	Details ...	13	-0.45212343	-0.8340111	0.7307692	1.0	0.998	128	tags=85%, list=36%, signal=128%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS	Details ...	14	-0.305638	-0.74924785	0.7366412	1.0	1.0	249	tags=100%, list=71%, signal=330%	
