NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BERNARD_PPAPDC1B_TARGETS_UP	BERNARD_PPAPDC1B_TARGETS_UP	Details ...	37	-0.51098907	-1.8618581	0.005597015	1.0	0.782	4601	tags=41%, list=13%, signal=47%	
TIEN_INTESTINE_PROBIOTICS_6HR_UP	TIEN_INTESTINE_PROBIOTICS_6HR_UP	Details ...	52	-0.555503	-1.8542311	0.038539555	1.0	0.803	3533	tags=40%, list=10%, signal=45%	
LIN_MELANOMA_COPY_NUMBER_DN	LIN_MELANOMA_COPY_NUMBER_DN	Details ...	41	-0.59934485	-1.8077533	0.022900764	1.0	0.869	7075	tags=61%, list=20%, signal=77%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	Details ...	116	-0.630533	-1.7889869	0.05882353	1.0	0.898	9088	tags=72%, list=26%, signal=97%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Details ...	60	-0.6147113	-1.7556586	0.05952381	1.0	0.931	5561	tags=55%, list=16%, signal=65%	
REACTOME_SARS_COV_1_INFECTION	REACTOME_SARS_COV_1_INFECTION	Details ...	50	-0.46276084	-1.753343	0.009469697	1.0	0.931	6447	tags=34%, list=19%, signal=42%	
GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	Details ...	172	-0.43395865	-1.7461703	0.023255814	1.0	0.936	8342	tags=40%, list=24%, signal=53%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	118	-0.62413406	-1.7417507	0.06504065	1.0	0.94	9088	tags=71%, list=26%, signal=96%	
BIOCARTA_HCMV_PATHWAY	BIOCARTA_HCMV_PATHWAY	Details ...	17	-0.62556845	-1.739361	0.009242144	1.0	0.943	6886	tags=47%, list=20%, signal=59%	
GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_DN	GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_DN	Details ...	198	-0.38503703	-1.7381576	0.017013233	1.0	0.944	7863	tags=32%, list=23%, signal=41%	
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	Details ...	68	-0.666962	-1.7322537	0.06464647	1.0	0.947	5561	tags=62%, list=16%, signal=73%	
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_DN	HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_DN	Details ...	26	-0.5104058	-1.7306452	0.027131783	1.0	0.947	4340	tags=38%, list=13%, signal=44%	
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	Details ...	33	-0.5002227	-1.7287009	0.009541985	1.0	0.947	2128	tags=24%, list=6%, signal=26%	
WP_VITAMIN_D_IN_INFLAMMATORY_DISEASES	WP_VITAMIN_D_IN_INFLAMMATORY_DISEASES	Details ...	22	-0.58075523	-1.7244048	0.01663586	1.0	0.952	6886	tags=36%, list=20%, signal=45%	
TIAN_BHLHA15_TARGETS	TIAN_BHLHA15_TARGETS	Details ...	16	-0.59463793	-1.7241713	0.021113243	1.0	0.952	4764	tags=31%, list=14%, signal=36%	
PID_DNA_PK_PATHWAY	PID_DNA_PK_PATHWAY	Details ...	16	-0.5535594	-1.7237544	0.009451796	1.0	0.952	5329	tags=44%, list=15%, signal=52%	
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Details ...	172	-0.5008005	-1.7206452	0.08266129	1.0	0.954	9088	tags=53%, list=26%, signal=71%	
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	Details ...	157	-0.5280667	-1.7194523	0.08032128	1.0	0.954	9088	tags=57%, list=26%, signal=77%	
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	Details ...	18	-0.55796033	-1.7177324	0.015533981	1.0	0.955	7270	tags=39%, list=21%, signal=49%	
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Details ...	374	-0.49387637	-1.7119277	0.040618956	1.0	0.961	9092	tags=54%, list=26%, signal=73%	
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN	GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN		192	-0.3636213	-1.6953858	0.011764706	1.0	0.979	7812	tags=37%, list=23%, signal=48%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY		102	-0.6332585	-1.6916789	0.07628866	1.0	0.98	9088	tags=73%, list=26%, signal=98%	
LUI_THYROID_CANCER_CLUSTER_3	LUI_THYROID_CANCER_CLUSTER_3		28	-0.5804532	-1.686822	0.046511628	1.0	0.982	8302	tags=57%, list=24%, signal=75%	
EPPERT_LSC_R	EPPERT_LSC_R		41	-0.46480346	-1.6847382	0.014732965	1.0	0.982	6232	tags=32%, list=18%, signal=39%	
NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON	NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON		129	-0.48655555	-1.6823897	0.030360531	1.0	0.983	8095	tags=52%, list=23%, signal=68%	
KEGG_RIBOSOME	KEGG_RIBOSOME		88	-0.6837526	-1.6816924	0.06995885	1.0	0.983	9088	tags=83%, list=26%, signal=112%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION		120	-0.60269564	-1.6803355	0.079918034	1.0	0.983	9088	tags=69%, list=26%, signal=93%	
JISON_SICKLE_CELL_DISEASE_DN	JISON_SICKLE_CELL_DISEASE_DN		185	-0.4069049	-1.6774337	0.05788423	1.0	0.985	8915	tags=42%, list=26%, signal=56%	
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP		196	-0.4110066	-1.6761056	0.03522505	1.0	0.985	9268	tags=44%, list=27%, signal=60%	
GSE25087_TREG_VS_TCONV_ADULT_DN	GSE25087_TREG_VS_TCONV_ADULT_DN		192	-0.34097347	-1.6738418	0.0037313432	1.0	0.985	7480	tags=34%, list=22%, signal=43%	
LEE_CALORIE_RESTRICTION_MUSCLE_DN	LEE_CALORIE_RESTRICTION_MUSCLE_DN		47	-0.47973177	-1.6615382	0.023722628	1.0	0.986	4325	tags=36%, list=13%, signal=41%	
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE		18	-0.5652291	-1.6605449	0.02268431	1.0	0.986	4870	tags=28%, list=14%, signal=32%	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP		113	-0.41784582	-1.660079	0.034351144	1.0	0.986	7168	tags=36%, list=21%, signal=46%	
GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP	GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP		200	-0.34888586	-1.6566157	0.015122874	1.0	0.986	7424	tags=33%, list=21%, signal=42%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION		93	-0.6775109	-1.6564529	0.07676349	1.0	0.986	9088	tags=82%, list=26%, signal=111%	
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS		88	-0.67156935	-1.6528814	0.08125	1.0	0.987	9088	tags=81%, list=26%, signal=109%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		204	-0.49189964	-1.6511763	0.098196395	1.0	0.987	9355	tags=49%, list=27%, signal=66%	
BIOCARTA_AKT_PATHWAY	BIOCARTA_AKT_PATHWAY		22	-0.51785946	-1.6473563	0.032380953	1.0	0.989	8708	tags=55%, list=25%, signal=73%	
REACTOME_PHOSPHORYLATION_SITE_MUTANTS_OF_CTNNB1_ARE_NOT_TARGETED_TO_THE_PROTEASOME_BY_THE_DESTRUCTION_COMPLEX	REACTOME_PHOSPHORYLATION_SITE_MUTANTS_OF_CTNNB1_ARE_NOT_TARGETED_TO_THE_PROTEASOME_BY_THE_DESTRUCTION_COMPLEX		15	-0.62820125	-1.6339703	0.028037382	1.0	0.989	9287	tags=67%, list=27%, signal=91%	
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN		198	-0.43331215	-1.6337986	0.08134921	1.0	0.99	9231	tags=49%, list=27%, signal=67%	
GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP		195	-0.34840617	-1.6331991	0.015414258	1.0	0.99	10855	tags=46%, list=31%, signal=67%	
REACTOME_DEADENYLATION_OF_MRNA	REACTOME_DEADENYLATION_OF_MRNA		25	-0.51354855	-1.6298461	0.030360531	1.0	0.99	9385	tags=56%, list=27%, signal=77%	
GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_DN	GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_DN		199	-0.34840983	-1.6289438	0.009652509	1.0	0.99	8575	tags=36%, list=25%, signal=48%	
REACTOME_NICOTINAMIDE_SALVAGING	REACTOME_NICOTINAMIDE_SALVAGING		19	-0.5550184	-1.6279502	0.020872865	1.0	0.99	8078	tags=53%, list=23%, signal=69%	
BIOCARTA_STRESS_PATHWAY	BIOCARTA_STRESS_PATHWAY		24	-0.525535	-1.6278945	0.040590405	1.0	0.99	7445	tags=46%, list=22%, signal=58%	
REACTOME_TRANSLATION_OF_STRUCTURAL_PROTEINS	REACTOME_TRANSLATION_OF_STRUCTURAL_PROTEINS		28	-0.5084529	-1.6238643	0.037181996	1.0	0.991	6447	tags=32%, list=19%, signal=39%	
WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS	WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS		46	-0.4420377	-1.6180387	0.029357798	1.0	0.992	7760	tags=35%, list=22%, signal=45%	
REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION	REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION		24	-0.49789798	-1.6170144	0.02264151	1.0	0.993	8260	tags=46%, list=24%, signal=60%	
PID_ECADHERIN_KERATINOCYTE_PATHWAY	PID_ECADHERIN_KERATINOCYTE_PATHWAY		21	-0.53895813	-1.6161315	0.031657357	1.0	0.993	6582	tags=33%, list=19%, signal=41%	
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	HOLLERN_MICROACINAR_BREAST_TUMOR_UP		46	-0.45923644	-1.6155365	0.028790787	1.0	0.993	9494	tags=54%, list=27%, signal=75%	
REACTOME_PROCESSING_OF_SMDT1	REACTOME_PROCESSING_OF_SMDT1		16	-0.5628566	-1.6148639	0.046092186	1.0	0.993	2508	tags=31%, list=7%, signal=34%	
REACTOME_INSULIN_RECEPTOR_RECYCLING	REACTOME_INSULIN_RECEPTOR_RECYCLING		25	-0.57110494	-1.6140474	0.055888224	1.0	0.993	6411	tags=48%, list=19%, signal=59%	
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN		196	-0.37416002	-1.6124471	0.04563492	1.0	0.994	6946	tags=33%, list=20%, signal=41%	
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM		21	-0.59881765	-1.6116053	0.034615386	1.0	0.994	7766	tags=67%, list=22%, signal=86%	
BAE_BRCA1_TARGETS_UP	BAE_BRCA1_TARGETS_UP		71	-0.42857367	-1.6113253	0.025540275	1.0	0.994	7872	tags=37%, list=23%, signal=47%	
LUI_THYROID_CANCER_PAX8_PPARG_DN	LUI_THYROID_CANCER_PAX8_PPARG_DN		46	-0.47416353	-1.6073002	0.07364341	1.0	0.994	7713	tags=41%, list=22%, signal=53%	
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS		218	-0.42162946	-1.6043023	0.122	1.0	0.994	8951	tags=45%, list=26%, signal=60%	
HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN	HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN		18	-0.5070523	-1.6040419	0.037807185	1.0	0.994	3849	tags=39%, list=11%, signal=44%	
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS_	REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS_		15	-0.562425	-1.6017454	0.037593983	1.0	0.994	9225	tags=60%, list=27%, signal=82%	
REACTOME_GLYCOGEN_METABOLISM	REACTOME_GLYCOGEN_METABOLISM		27	-0.5081997	-1.5988393	0.04597701	1.0	0.994	7362	tags=48%, list=21%, signal=61%	
LIM_MAMMARY_STEM_CELL_DN	LIM_MAMMARY_STEM_CELL_DN		416	-0.42536974	-1.5978613	0.03731343	1.0	0.994	10481	tags=51%, list=30%, signal=73%	
WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY	WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY		131	-0.39961165	-1.5916388	0.016759777	1.0	0.994	7777	tags=36%, list=22%, signal=46%	
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM		22	-0.55798477	-1.591465	0.041984733	1.0	0.994	7322	tags=50%, list=21%, signal=63%	
GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP	GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP		200	-0.35732636	-1.591168	0.03345725	1.0	0.994	7154	tags=34%, list=21%, signal=42%	
ST_GA13_PATHWAY	ST_GA13_PATHWAY		37	-0.4744042	-1.590626	0.02946593	1.0	0.994	6886	tags=43%, list=20%, signal=54%	
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN		126	-0.37490147	-1.5894948	0.047244094	1.0	0.994	7713	tags=40%, list=22%, signal=52%	
GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN	GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN		197	-0.3641014	-1.5890319	0.034416825	1.0	0.994	7410	tags=37%, list=21%, signal=47%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		33	-0.59969485	-1.5879426	0.02247191	1.0	0.994	5396	tags=45%, list=16%, signal=54%	
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	REACTOME_DISEASES_OF_IMMUNE_SYSTEM		24	-0.57295305	-1.5876243	0.06349207	1.0	0.994	6886	tags=50%, list=20%, signal=62%	
PECE_MAMMARY_STEM_CELL_UP	PECE_MAMMARY_STEM_CELL_UP		138	-0.5018458	-1.5861645	0.10097087	1.0	0.994	9233	tags=54%, list=27%, signal=73%	
WP_RESISTIN_AS_A_REGULATOR_OF_INFLAMMATION	WP_RESISTIN_AS_A_REGULATOR_OF_INFLAMMATION		33	-0.47194308	-1.5861049	0.053030305	1.0	0.994	9131	tags=45%, list=26%, signal=62%	
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE		17	-0.6001479	-1.5806869	0.040816326	1.0	0.994	9287	tags=59%, list=27%, signal=80%	
GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN	GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN		199	-0.3706976	-1.5788851	0.046332046	1.0	0.994	9558	tags=41%, list=28%, signal=56%	
HEIDENBLAD_AMPLICON_12P11_12_DN	HEIDENBLAD_AMPLICON_12P11_12_DN		25	-0.49200422	-1.577611	0.041666668	1.0	0.994	4939	tags=36%, list=14%, signal=42%	
MANN_RESPONSE_TO_AMIFOSTINE_UP	MANN_RESPONSE_TO_AMIFOSTINE_UP		19	-0.4878951	-1.5743743	0.027322404	1.0	0.994	4580	tags=32%, list=13%, signal=36%	
GSE2197_IMMUNOSUPPRESSIVE_DNA_VS_UNTREATEDIN_DC_DN	GSE2197_IMMUNOSUPPRESSIVE_DNA_VS_UNTREATEDIN_DC_DN		199	-0.3498636	-1.5737659	0.039697543	1.0	0.994	6655	tags=31%, list=19%, signal=38%	
BIOCARTA_TOLL_PATHWAY	BIOCARTA_TOLL_PATHWAY		25	-0.4991079	-1.5731939	0.065055765	1.0	0.994	10343	tags=56%, list=30%, signal=80%	
GSE17721_CTRL_VS_LPS_2H_BMDC_UP	GSE17721_CTRL_VS_LPS_2H_BMDC_UP		199	-0.354217	-1.5717046	0.0295858	1.0	0.994	4690	tags=25%, list=14%, signal=29%	
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP	GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP		193	-0.36079457	-1.5717012	0.056640625	1.0	0.994	9568	tags=42%, list=28%, signal=58%	
DOUGLAS_BMI1_TARGETS_DN	DOUGLAS_BMI1_TARGETS_DN		313	-0.32529688	-1.5706915	0.023255814	1.0	0.994	3069	tags=20%, list=9%, signal=22%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		113	-0.5712562	-1.5704317	0.12240664	1.0	0.994	9088	tags=65%, list=26%, signal=89%	
GSE3982_BCELL_VS_NKCELL_UP	GSE3982_BCELL_VS_NKCELL_UP		196	-0.3818134	-1.5702816	0.009398496	1.0	0.994	7985	tags=40%, list=23%, signal=52%	
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS	REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS		20	-0.5011814	-1.5688449	0.055238094	1.0	0.994	8544	tags=35%, list=25%, signal=46%	
GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_DN	GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_DN		200	-0.3363951	-1.5662135	0.033962265	1.0	0.994	8987	tags=34%, list=26%, signal=45%	
WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH	WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH		22	-0.44178388	-1.5645155	0.025641026	1.0	0.994	5085	tags=23%, list=15%, signal=27%	
TONG_INTERACT_WITH_PTTG1	TONG_INTERACT_WITH_PTTG1		57	-0.37654576	-1.5644008	0.05	1.0	0.994	2816	tags=19%, list=8%, signal=21%	
