NAME	TITLE	SCORE	
ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	0.8783847	
PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A [Source:HGNC Symbol;Acc:HGNC:14871]	0.7564144	
ADAMTS7P1	ADAMTS7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49407]	0.75583017	
MIR503HG	MIR503 host gene [Source:HGNC Symbol;Acc:HGNC:28258]	0.7443124	
AL109615.3	novel transcript, antisense to C6orf223	0.7394949	
SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	0.7321839	
MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	0.72676486	
ALX4	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]	0.72676086	
FBXO43	F-box protein 43 [Source:HGNC Symbol;Acc:HGNC:28521]	0.7100465	
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]	0.6974803	
GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	0.69707483	
FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	0.6957541	
LINC01796	long intergenic non-protein coding RNA 1796 [Source:HGNC Symbol;Acc:HGNC:52586]	0.6934225	
MRPS17P1	mitochondrial ribosomal protein S17 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29734]	0.6912182	
C1orf87	chromosome 1 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:28547]	0.68764436	
AC091182.1	novel transcript	0.686734	
FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	0.68563724	
RPS4XP2	ribosomal protein S4X pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16563]	0.68353397	
RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	0.675892	
OR2K2	olfactory receptor family 2 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:8264]	0.67478806	
